bbl,numfloors,lotarea,bldgarea,yearbuilt,bldgclass,zonedist1,far,is_office,is_prewar,is_postwar_ideal,is_modern,outcome,notes
1000050010,32.0,54023.0,1044351.0,1969.0,D5,C5-5,19.33,0,0,1,0,1,25 Water St - SoMA 1300 units
1000250001,30.0,23132.0,406025.0,1968.0,O4,C5-5,17.55,1,0,1,0,1,55 Broad St - 571 rental units
1000700043,30.0,24092.0,525000.0,1972.0,D5,C5-5,21.79,0,0,1,0,1,160 Water St - 580 units
1000700032,29.0,23555.0,487950.0,1971.0,D6,C5-5,20.72,0,0,1,0,1,180 Water St - 573 units
1000237501,52.0,42178.0,872851.0,1930.0,RM,C5-5,20.69,0,1,0,0,1,1 Wall St - 566 condos
1000417504,66.0,31722.0,975719.0,1932.0,RM,C5-5,30.76,0,1,0,0,1,70 Pine St - 644 rentals
1000907503,46.0,20080.0,276599.0,1883.0,RM,C5-5,13.77,0,0,0,0,1,5 Beekman St - hotel + condos
1001237501,60.5,29411.0,880371.0,1913.0,RM,C5-3,29.93,0,1,0,0,1,Woolworth - upper floor condos
1000230050,30.0,19975.0,466820.0,1956.0,D9,C5-5,23.37,0,0,1,0,1,20 Broad St - 533 rentals
1001537501,15.0,18919.0,209951.0,1910.0,RM,C6-4,11.1,0,1,0,0,1,49 Chambers - rental conversion
1000690032,35.0,11550.0,338463.0,1931.0,D7,C5-5,29.3,0,1,0,0,1,116 John St - residential
1000790010,15.0,10060.0,111423.0,1920.0,HS,C5-5,11.08,0,1,0,0,1,17 John St - residential
1000267501,42.0,39846.0,810798.0,1913.0,RM,C5-5,20.35,0,1,0,0,1,15 Broad St - rental 2022
1000420022,45.0,18892.0,431000.0,2002.0,D8,C5-5,22.81,0,0,0,1,1,10 Liberty St - residential
1008230024,12.0,10377.0,113284.0,1908.0,O6,C6-4A,10.92,1,1,0,0,1,21 West St - residential
1000330001,26.0,25779.0,541568.0,1969.0,O4,C6-9,21.01,1,0,1,0,1,77 Water St - conversion
1008267501,24.0,22471.0,282140.0,1915.0,RM,C5-2,12.56,0,1,0,0,1,Toy Center to condos
1000270009,37.0,17623.0,400531.0,1929.0,D5,C5-5,22.73,0,1,0,0,1,63 Wall St - residential
1000317501,36.0,30794.0,542494.0,1987.0,RM,C5-5,17.62,0,0,0,0,1,75 Wall St - residential
1000697502,29.0,14851.0,344914.0,1931.0,RR,C5-5,23.22,0,1,0,0,1,90 John St - residential
1000420001,24.0,17684.0,290116.0,1930.0,D6,C5-5,16.41,0,1,0,0,1,100 Maiden Lane - residential
1001007502,76.0,41370.0,900766.0,2007.0,RM,C6-4,21.77,0,0,0,1,1,8 Spruce St - Gehry tower
1000270017,25.0,12127.0,305271.0,1921.0,D5,C5-5,25.17,0,1,0,0,1,67 Wall St - rental conversion
1000390012,38.0,48946.0,1104184.0,1961.0,O4,,22.56,1,0,1,0,1,110 Maiden Lane - residential
1000430001,24.0,14213.0,289049.0,1927.0,O4,C5-5,20.34,1,1,0,0,1,44 Wall St - rental conversion
1000400014,32.0,12175.0,281755.0,1929.0,O4,C5-5,23.14,1,1,0,0,1,48 Wall St - rental conversion
1000210006,23.0,13967.0,303086.0,1898.0,D5,C5-5,21.7,0,0,0,0,1,71 Broadway - rental conversion
1000690018,51.0,24128.0,627300.0,2003.0,D8,C5-5,26.0,0,0,0,1,1,2 Gold St - rental conversion
1000767502,25.0,29668.0,388570.0,2003.0,RM,C6-4,13.1,0,0,0,1,1,99 John St - rental conversion
1000187501,38.0,24470.0,366023.0,1956.0,RM,C6-9,14.96,0,0,1,0,1,88 Greenwich - rental conversion
1000707501,16.0,20329.0,255763.0,1958.0,RC,C5-5,12.58,0,0,1,0,1,125 Maiden Lane - residential
1000670001,44.0,59391.0,1073000.0,1965.0,O4,C5-5,18.07,1,0,1,0,1,59 Maiden Lane - residential
1000770001,14.0,12180.0,160000.0,1926.0,D7,C6-4,13.14,0,1,0,0,1,85 John St - residential
